                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.73397,                0.51323,                 1.0791,                0.90755,                 0.9153,                0.95618,                0.69067,                0.99959,                 0.4583,                 1.3286,               0.000826,               0.000826,               0.000826
                    141,                0.71169,                0.41958,                  1.073,                0.91128,                0.91489,                 0.9561,                0.69094,                0.99829,                0.45769,                 1.3275,                0.00076,                0.00076,                0.00076
                    142,                0.69335,                0.40286,                 1.0634,                0.91421,                0.91303,                0.95639,                0.69301,                0.99748,                 0.4577,                 1.3277,               0.000694,               0.000694,               0.000694
                    143,                0.68771,                0.39857,                 1.0581,                0.91208,                 0.9134,                0.95591,                0.69454,                0.99697,                0.45626,                 1.3274,               0.000628,               0.000628,               0.000628
                    144,                0.67917,                0.39309,                 1.0519,                  0.912,                0.91333,                0.95574,                0.69513,                0.99576,                0.45572,                 1.3263,               0.000562,               0.000562,               0.000562
                    145,                0.67566,                0.39083,                 1.0501,                 0.9111,                0.91311,                0.95554,                0.69582,                0.99554,                0.45485,                 1.3262,               0.000496,               0.000496,               0.000496
                    146,                0.67099,                0.39108,                 1.0469,                0.91251,                0.91176,                0.95537,                 0.6957,                0.99518,                0.45464,                 1.3263,                0.00043,                0.00043,                0.00043
                    147,                0.66509,                 0.3882,                 1.0433,                0.91455,                0.91022,                0.95557,                 0.6961,                0.99538,                0.45444,                 1.3265,               0.000364,               0.000364,               0.000364
                    148,                0.66298,                0.38328,                 1.0426,                0.91405,                0.90858,                0.95515,                0.69536,                0.99531,                0.45517,                  1.327,               0.000298,               0.000298,               0.000298
                    149,                0.66045,                0.38398,                 1.0424,                0.91259,                0.90858,                0.95528,                 0.6952,                 0.9955,                0.45496,                 1.3273,               0.000232,               0.000232,               0.000232
                    150,                0.65923,                0.37784,                 1.0398,                0.88333,                0.94155,                0.95523,                 0.6939,                0.99523,                0.45469,                 1.3276,               0.000166,               0.000166,               0.000166
