epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,4512.9,0.91949,0.74804,1.26549,0.93352,0.92892,0.93157,0.66942,1.11262,0.47054,1.51916,0.004456,0.004456,0.004456
114,4556.41,0.91752,0.73713,1.2632,0.93327,0.92892,0.93195,0.66906,1.11402,0.46982,1.52111,0.0044065,0.0044065,0.0044065
115,4600.01,0.91626,0.74283,1.26467,0.93363,0.92811,0.93267,0.67002,1.11552,0.46957,1.52362,0.004357,0.004357,0.004357
116,4646.23,0.91158,0.72735,1.25397,0.9326,0.92833,0.9337,0.67152,1.11536,0.46894,1.52541,0.0043075,0.0043075,0.0043075
117,4688.55,0.91896,0.74052,1.26642,0.9336,0.92906,0.93351,0.67113,1.11472,0.47131,1.52664,0.004258,0.004258,0.004258
118,4732.5,0.90853,0.73097,1.25746,0.93357,0.92901,0.93371,0.66997,1.11498,0.47109,1.52781,0.0042085,0.0042085,0.0042085
119,4779.61,0.90102,0.71831,1.25418,0.9329,0.9294,0.93318,0.66926,1.11525,0.47072,1.52861,0.004159,0.004159,0.004159
120,4822.99,0.902,0.72262,1.25706,0.9325,0.92968,0.93445,0.66925,1.11601,0.46997,1.52999,0.0041095,0.0041095,0.0041095
121,4869.24,0.90173,0.72759,1.25425,0.93117,0.92903,0.93462,0.66982,1.11572,0.46781,1.53103,0.00406,0.00406,0.00406
122,4911.68,0.896,0.72033,1.25155,0.93306,0.92897,0.93427,0.66899,1.11698,0.46811,1.53319,0.0040105,0.0040105,0.0040105
123,4952.37,0.90038,0.72084,1.25332,0.93291,0.92893,0.9343,0.66807,1.11825,0.46671,1.53521,0.003961,0.003961,0.003961
124,4992.95,0.89377,0.70816,1.24947,0.93225,0.92914,0.93402,0.6677,1.11942,0.46702,1.53708,0.0039115,0.0039115,0.0039115
125,5033.86,0.88965,0.70265,1.24469,0.92979,0.93011,0.93414,0.66917,1.11977,0.46817,1.5377,0.003862,0.003862,0.003862
126,5072.8,0.88652,0.70428,1.24625,0.92979,0.93031,0.93422,0.66898,1.12058,0.46845,1.53892,0.0038125,0.0038125,0.0038125
127,5114.56,0.8863,0.71026,1.24487,0.92907,0.93171,0.93415,0.66923,1.12182,0.46743,1.5401,0.003763,0.003763,0.003763
128,5153.96,0.88364,0.70428,1.23892,0.92932,0.93149,0.93424,0.66935,1.12228,0.46798,1.54105,0.0037135,0.0037135,0.0037135
129,5193.61,0.88134,0.70299,1.2409,0.93001,0.93127,0.93422,0.66887,1.12255,0.4684,1.54243,0.003664,0.003664,0.003664
130,5235.28,0.87624,0.70014,1.23945,0.93162,0.9286,0.93389,0.66892,1.12431,0.46786,1.54542,0.0036145,0.0036145,0.0036145
131,5276.03,0.8762,0.70458,1.23961,0.93195,0.92883,0.9341,0.66902,1.12427,0.46836,1.54624,0.003565,0.003565,0.003565
132,5314.51,0.87868,0.69357,1.23814,0.93147,0.92859,0.93418,0.66947,1.12407,0.46814,1.54664,0.0035155,0.0035155,0.0035155
133,5353.75,0.86793,0.69099,1.23576,0.93147,0.92868,0.93456,0.66857,1.12467,0.46876,1.54775,0.003466,0.003466,0.003466
134,5393.22,0.86753,0.69851,1.23381,0.93165,0.92864,0.93466,0.66842,1.12511,0.46841,1.5492,0.0034165,0.0034165,0.0034165
135,5433.43,0.86541,0.69257,1.22873,0.93219,0.92906,0.93486,0.66791,1.12522,0.46862,1.54991,0.003367,0.003367,0.003367
136,5473.98,0.86394,0.68704,1.22957,0.93218,0.92901,0.93481,0.66798,1.12586,0.46885,1.55063,0.0033175,0.0033175,0.0033175
137,5515.53,0.86691,0.68857,1.22974,0.93211,0.92909,0.93497,0.66764,1.12642,0.46853,1.55258,0.003268,0.003268,0.003268
138,5562.22,0.85262,0.67608,1.2216,0.93206,0.92912,0.93485,0.66814,1.12635,0.46807,1.55337,0.0032185,0.0032185,0.0032185
139,5599.08,0.85201,0.68003,1.22121,0.93198,0.92924,0.93477,0.66877,1.12649,0.46839,1.55457,0.003169,0.003169,0.003169
140,5645.13,0.85217,0.68153,1.22122,0.93186,0.92925,0.93466,0.66787,1.12692,0.46857,1.55523,0.0031195,0.0031195,0.0031195
